regime,scope,system,seed,t,l1_from_matched,prior_neg,prior_neu,prior_pos,macro_f1
lodo,Finance,xlmr_dapt,s42,0.6,0.3072,0.3072,0.4476,0.2452,0.7781312712897296
lodo,Finance,xlmr_dapt,s42,0.7,0.3584,0.3004,0.4732,0.2264,0.7768993229954089
lodo,Finance,xlmr_dapt,s42,0.8,0.4096,0.2936,0.4988,0.2076,0.7750161789453435
lodo,Finance,xlmr_dapt,s42,0.9,0.4608,0.2868,0.5244,0.1888,0.7724013584689581
lodo,Finance,xlmr_dapt,s42,1.0,0.512,0.28,0.55,0.17,0.7689317561233519
lodo,Finance,xlmr_ft,s100,0.0,0.0,0.348,0.294,0.358,0.7754566483602968
lodo,Finance,xlmr_ft,s100,0.1,0.0512,0.3412,0.3196,0.3392,0.7771284016044709
lodo,Finance,xlmr_ft,s100,0.2,0.1024,0.3344,0.3452,0.3204,0.7781334070986725
lodo,Finance,xlmr_ft,s100,0.3,0.1536,0.3276,0.3708,0.3016,0.7785335038375926
lodo,Finance,xlmr_ft,s100,0.4,0.2048,0.3208,0.3964,0.2828,0.7783661132252413
lodo,Finance,xlmr_ft,s100,0.5,0.256,0.314,0.422,0.264,0.777647424150017
lodo,Finance,xlmr_ft,s100,0.6,0.3072,0.3072,0.4476,0.2452,0.7763734348603424
lodo,Finance,xlmr_ft,s100,0.7,0.3584,0.3004,0.4732,0.2264,0.774518979870033
lodo,Finance,xlmr_ft,s100,0.8,0.4096,0.2936,0.4988,0.2076,0.7720344808592522
lodo,Finance,xlmr_ft,s100,0.9,0.4608,0.2868,0.5244,0.1888,0.7688396722553338
lodo,Finance,xlmr_ft,s100,1.0,0.512,0.28,0.55,0.17,0.7648127849812161
lodo,Finance,xlmr_ft,s13,0.0,0.0,0.348,0.294,0.358,0.7984171366383189
lodo,Finance,xlmr_ft,s13,0.1,0.0512,0.3412,0.3196,0.3392,0.7989132032383565
lodo,Finance,xlmr_ft,s13,0.2,0.1024,0.3344,0.3452,0.3204,0.7988982138179735
lodo,Finance,xlmr_ft,s13,0.3,0.1536,0.3276,0.3708,0.3016,0.7984149663566248
lodo,Finance,xlmr_ft,s13,0.4,0.2048,0.3208,0.3964,0.2828,0.7974855768579591
lodo,Finance,xlmr_ft,s13,0.5,0.256,0.314,0.422,0.264,0.7961140938100085
lodo,Finance,xlmr_ft,s13,0.6,0.3072,0.3072,0.4476,0.2452,0.7942870965423875
lodo,Finance,xlmr_ft,s13,0.7,0.3584,0.3004,0.4732,0.2264,0.7919724009040077
lodo,Finance,xlmr_ft,s13,0.8,0.4096,0.2936,0.4988,0.2076,0.7891156002270775
lodo,Finance,xlmr_ft,s13,0.9,0.4608,0.2868,0.5244,0.1888,0.7856336785542473
lodo,Finance,xlmr_ft,s13,1.0,0.512,0.28,0.55,0.17,0.7814041576329038
lodo,Finance,xlmr_ft,s21,0.0,0.0,0.348,0.294,0.358,0.7562264898838453
lodo,Finance,xlmr_ft,s21,0.1,0.0512,0.3412,0.3196,0.3392,0.7571107845607553
lodo,Finance,xlmr_ft,s21,0.2,0.1024,0.3344,0.3452,0.3204,0.7573691138292986
lodo,Finance,xlmr_ft,s21,0.3,0.1536,0.3276,0.3708,0.3016,0.757053352103629
lodo,Finance,xlmr_ft,s21,0.4,0.2048,0.3208,0.3964,0.2828,0.7561918361207608
